	quatrain	seen before?	pentameter	rhyme	readability	emotion						
lm**	"when as we made him that triumphant lies whose beauty like a front of pomp, no doubt can wear upon her head? what is the world which lays it to be great, and now is mine"	0	5	1	2	2						
lm**	"one on another's most forbidden ground he knows from sin, whose fear enjoy to shun the father's dog who takes him all and both he both, and sells the secret for his love"	0	5	2	2	2						
lm**	"when liberal is thy song, with tasselled corn sing to thy word, and every power of god ring in a awful trumpet than a tongue the world give language to the tale of praise"	0	5	1	3	3						
lm**	"a lover in my spirit's sad distress here i rejoice, and call us at a hour which must regret its follies first our last and told the future, to the one's to give"	0	5	2	4	4						
lm**	"have sent me from the knowledge of thine hand what thou hast done it, then for god is great stand in thy body and the heart of life a breath to him in comfort, and no more"	0	5	2	2	2						
lm**	"nor haste or horsemen down our flying car or urge their hosts where all my coursers fly of eager steeds, and lest the squadrons train their utmost speed, and the messengers go round"	0	4	1	4	3						
lm**	"even here we look again; and we may pass — o god! the man, here in our hearts are lean between their light, our souls go upward on their strength and spirits live another hence"	0	4	1	3	3						
lm**	"as one who spoke a blade from which he drew sent to his warrior's weapon.; and he smote this foot that with a stain, and soul of blood belov è d, the proud lady of the land"	0	5	1	4	4						
lm**	"fair sons of greece and blameless thebes pursued by great atrides; and with studious force of all his toils, with all his care assign'd the seat below, the way is sacred there"	0	4	2	2	2						
lm**	pours out its distant margin's towering steep and winding river where a torrent rides as on his swift way on a rushing tide high in the leafy murmur of the strain	0	5	4	5	4						
lm**	"to his mighty union and which came  to rule of sphere, and every star of man  whatever is a land; but on the sea  which once a bubble burst, the sun below"	0	3	1	2	2						
lm**	"which was her neighbour, better than we knew  the husbands some had told me what was got  than one of such a suit which he might find  gave up to what he seemed to give himself"	0	5	1	1	1						
lm**	"than one much more than other used he knew  though cupid found on ev'ry way he sought  to love the maiden, could she never known  did taste was wished, to wish she may convey"	0	5	1	1	1						
lm**	"on where he sits forsaken at his lay  a shepherd spread him from dark, up and doors  out on to rock the rocks at his command  to howl and thunder in the passing bell"	0	3	1	3	2						
